116,Salt Creek (ST 130) Fixed Station (Field data from 7/24),base,39268,15,10865.6,20.343,576.0496,19.93,9.65,66.74,8.19,1023.0,5.3,300.0,263.784633
117,Salt Creek (US 20) Fixed Station (Field data from 7/24),base,39268,16,10865.6,7.374799999999999,208.83105999999998,20.67,9.29,66.74,8.18,965.0,3.8,300.0,0.0
118,Lake Louise Outlet,base,39280,1,1828.0,2.206,62.4669,14.64,7.13,72.0,7.54,842.0,1.5,110.0,8.09571024
119,Lake Louise Outlet (Duplicate),base,39280,1,1828.0,2.206,62.4669,14.64,7.13,72.0,7.54,842.0,1.5,170.0,8.09571024
120,Clark Ditch,base,39280,2,2716.0,0.903,25.5701,19.68,7.42,83.2,8.09,830.0,0.43,1100.0,0.949980355
121,Unnamed Tributary (Weblos),base,39280,3,976.0,0.162,4.5873,18.09,6.53,71.0,7.69,1149.0,0.006999999999999999,490.0,3.687636671
122,Block Ditch,base,39280,4,469.0,0.802,22.7101,16.0,4.58,47.6,7.41,915.0,0.006999999999999999,90.0,3.687636671
123,Salt Creek Headwaters,base,39280,5,4916.0,2.524,71.4717,19.31,5.8,64.5,7.79,683.0,0.21,1300.0,1.29678252
124,Sager's Lake Outlet,base,39280,6,3556.0,1.921,54.3966,20.17,7.39,83.7,7.86,947.0,0.006999999999999999,1100.0,0.5789423454
125,Beauty Creek,base,39280,7,2092.0,1.219,34.5182,13.94,8.59,85.3,7.68,912.0,0.12,200.0,0.35788469799999995
126,Pepper Creek,base,39280,8,1937.0,1.751,49.5827,15.89,8.59,89.0,8.08,776.0,0.006999999999999999,1000.0,0.46429951599999997
127,Unnamed Tributary (Mallards Landing),base,39280,9,1937.0,0.456,12.9124,18.84,7.17,79.0,8.14,771.0,0.26,0.0,0.29006415399999996
128,Butternut Springs Outlet,base,39280,10,1176.0,0.9359999999999999,26.5045,20.11,7.69,87.0,8.29,608.0,0.006999999999999999,430.0,0.2131677564
129,Squirrel Creek,base,39280,11,1576.0,0.055,1.5574,16.08,5.04,52.4,7.36,715.0,2.8,170.0,0.376766208
130,Robbin's Ditch,base,39280,12,1403.0,0.040999999999999995,1.1609,20.9,2.45,28.1,7.55,814.0,0.41,5100.0,0.041123722
131,Damon Run,base,39280,13,7014.0,2.013,57.0018,19.01,6.51,72.1,7.85,699.0,0.71,4500.0,3.49671842
132,Salt Creek (Lenburg),base,39280,14,44335.0,26.337,745.7807,20.82,7.56,86.8,8.18,975.0,4.1,430.0,264.18535499999996
133,Lake Louise Outlet,base,39287,1,1828.0,2.2569999999999997,63.9111,14.32,7.53,75.6,7.58,849.0,2.8,210.0,15.4613733
134,Clark Ditch,base,39287,2,2716.0,1.685,47.7138,19.05,7.08,78.3,8.04,770.0,0.23,1100.0,0.9481686340000001
135,Unnamed Tributary (Weblos),base,39287,3,980.0,0.217,6.1447,16.85,6.61,70.0,7.66,1061.0,0.006999999999999999,370.0,3.6348019987999995
136,Block Ditch,base,39287,4,469.0,0.861,24.3808,14.74,4.9,49.6,7.45,932.0,0.006999999999999999,130.0,3.6348019987999995
137,Salt Creek Headwaters,base,39287,5,4916.0,2.991,84.6956,17.07,6.35,67.5,7.8,689.0,0.2,940.0,1.46353997
138,Sager's Lake Outlet,base,39287,6,3556.0,1.734,49.1014,19.44,7.24,80.8,7.92,894.0,0.006999999999999999,250.0,0.6151903263999999
139,Beauty Creek,base,39287,7,2092.0,1.025,29.0247,13.54,8.71,85.9,7.71,915.0,0.12,140.0,0.30092809
140,Beauty Creek (Duplicate),base,39287,7,2092.0,1.025,29.0247,13.54,8.71,85.9,7.71,915.0,0.13,170.0,0.6946796396
141,Pepper Creek,base,39287,8,1937.0,2.0269999999999997,57.3982,15.45,8.53,87.6,8.09,781.0,0.006999999999999999,700.0,0.6946796396
142,Unnamed Tributary (Mallards Landing),base,39287,9,1899.0,0.55,15.5742,17.49,7.68,82.4,8.16,796.0,0.27,430.0,0.363314938
143,Butternut Springs Outlet,base,39287,10,1176.0,0.955,27.0425,19.44,8.0,89.2,8.33,621.0,0.006999999999999999,300.0,0.4455687746
144,Squirrel Creek,base,39287,11,1576.0,0.22,6.2297,16.98,7.93,84.0,7.55,715.0,2.5,130.0,1.3456152
145,Robbin's Ditch,base,39287,12,1403.0,0.135,3.8227,19.17,4.11,45.7,7.82,1487.0,0.66,390.0,0.217985645
146,Damon Run,base,39287,13,7014.0,3.742,105.9616,18.19,7.77,84.6,7.98,838.0,0.62,410.0,5.67615099
147,Salt Creek (Lenburg),base,39287,14,44335.0,35.06,992.7886,19.86,7.54,84.8,8.2,958.0,3.8,380.0,325.95235299999996
148,Lake Louise Outlet,base,39590,1,1478.0,1.6580000000000001,46.9493323,14.43,10.22,102.7,7.8,605.2,13.695,100.0,55.552703599999994
149,Clark Ditch,base,39590,2,2559.0,1.954,55.331119,15.44,9.67,99.3,8.05,605.2,8.8,100.0,42.069356400000004
150,Unnamed Tributary (Weblos),base,39590,3,976.0,0.7070000000000001,20.0200108,17.61,7.21,77.5,7.79,605.2,0.0,100.0,0.0
151,Block Ditch,base,39590,4,469.0,0.7263,20.566526,14.06,8.26,45.800000000000004,7.59,579.8,2.695,100.0,4.78887444
152,Salt Creek Headwaters,base,39590,5,5170.0,7.051,199.662088,18.05,8.45,91.6,7.93,590.4,2.2,100.0,37.95176970000001
153,Sager's Lake Outlet,base,39590,6,3831.0,3.213,90.9820294,17.67,9.75,105.0,8.08,613.2,0.0,100.0,0.0
154,Beauty Creek,base,39590,7,2078.0,1.365,38.6524962,13.9,8.91,88.5,7.83,624.2,2.2,100.0,7.34706647
155,Pepper Creek,base,39590,8,1937.0,2.5660000000000003,72.6610294,14.32,9.25,92.7,8.19,648.4,0.88,100.0,5.52456339
156,Unnamed Tributary (Mallards Landing) dup,base,39590,9,1872.0,1.245,35.2544745,10.76,9.49,87.8,8.0,608.6,0.88,200.0,1.198998188
157,Unnamed Tributary (Mallards Landing),base,39590,9,1872.0,1.245,35.2544745,10.78,9.37,86.7,8.02,608.6,0.4,200.0,1.21839464
158,Butternut Springs Outlet,base,39590,10,1162.0,1.48,41.9089336,14.85,9.4,95.4,8.34,585.2,0.88,100.0,3.18642004
159,Squirrel Creek,base,39591,11,1588.0,0.84,23.7861515,15.28,8.68,88.9,8.05,655.8,1.76,200.0,3.61701734
160,Robbin's Ditch,base,39591,12,1466.0,0.65,18.4059506,11.44,8.32,78.4,7.83,660.8,8.8,200.0,13.994412300000002
161,Damon Run,base,39591,13,6561.0,6.853,194.055352,11.33,7.81,73.2,7.84,673.2,1.32,300.0,22.1316248
162,Salt Creek (Lenburg),base,39591,14,44335.0,57.026,1614.79652,13.31,8.34,81.8,8.18,673.2,13.2,100.0,1841.6431300000002
163,Lake Louise Outlet,base,39596,1,1478.0,1.815,51.3950773,13.28,8.22,80.5,7.61,605.2,22.0,400.0,97.6917629
164,Clark Ditch,base,39596,2,2559.0,1.765,49.979235,12.53,9.31,89.7,8.01,605.2,8.8,200.0,38.000211900000004
165,Unnamed Tributary (Weblos),base,39596,3,976.0,0.787,22.2853586,14.39,7.33,73.6,7.77,605.2,0.0,200.0,0.0
166,Block Ditch,base,39596,4,469.0,0.774473,21.9306334,11.5,6.67,63.7,7.64,579.8,0.0,100.0,0.0
